ACC=0.256684, f1_macro=0.208168, precision_macro=0.261977, recall_macro=0.211734, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032111, ADJ_RAND_SCORE=0.004728
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004281, ADJ_RAND_SCORE=0.001311
ACC=0.170236, f1_macro=0.161856, precision_macro=0.170581, recall_macro=0.173678, f1_micro=0.170236, precision_micro=0.170236, recall_micro=0.170236, NMI=0.006968, ADJ_RAND_SCORE=0.002130
ACC=0.348718, f1_macro=0.336042, precision_macro=0.350601, recall_macro=0.375519, f1_micro=0.348718, precision_micro=0.348718, recall_micro=0.348718, NMI=0.102135, ADJ_RAND_SCORE=0.048199
ACC=0.391304, f1_macro=0.344641, precision_macro=0.392603, recall_macro=0.371824, f1_micro=0.391304, precision_micro=0.391304, recall_micro=0.391304, NMI=0.189315, ADJ_RAND_SCORE=0.126255
ACC=0.309434, f1_macro=0.265425, precision_macro=0.306729, recall_macro=0.296908, f1_micro=0.309434, precision_micro=0.309434, recall_micro=0.309434, NMI=0.053447, ADJ_RAND_SCORE=0.031027
ACC=0.256684, f1_macro=0.204243, precision_macro=0.254623, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.031924, ADJ_RAND_SCORE=0.005204
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004564, ADJ_RAND_SCORE=0.001500
ACC=0.170236, f1_macro=0.162107, precision_macro=0.170217, recall_macro=0.174274, f1_micro=0.170236, precision_micro=0.170236, recall_micro=0.170236, NMI=0.006923, ADJ_RAND_SCORE=0.002105
ACC=0.358974, f1_macro=0.343570, precision_macro=0.357605, recall_macro=0.384614, f1_micro=0.358974, precision_micro=0.358974, recall_micro=0.358974, NMI=0.104070, ADJ_RAND_SCORE=0.052982
ACC=0.391304, f1_macro=0.344802, precision_macro=0.389689, recall_macro=0.368340, f1_micro=0.391304, precision_micro=0.391304, recall_micro=0.391304, NMI=0.190107, ADJ_RAND_SCORE=0.121858
ACC=0.305660, f1_macro=0.262428, precision_macro=0.304153, recall_macro=0.294276, f1_micro=0.305660, precision_micro=0.305660, recall_micro=0.305660, NMI=0.052426, ADJ_RAND_SCORE=0.029654
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004238, ADJ_RAND_SCORE=0.001272
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004238, ADJ_RAND_SCORE=0.001272
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004238, ADJ_RAND_SCORE=0.001272
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004238, ADJ_RAND_SCORE=0.001272
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004238, ADJ_RAND_SCORE=0.001272
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004298, ADJ_RAND_SCORE=0.001254
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004298, ADJ_RAND_SCORE=0.001254
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004298, ADJ_RAND_SCORE=0.001254
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.189961, f1_macro=0.184613, precision_macro=0.190141, recall_macro=0.186930, f1_micro=0.189961, precision_micro=0.189961, recall_micro=0.189961, NMI=0.003671, ADJ_RAND_SCORE=0.001261
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.109000, f1_macro=0.100855, precision_macro=0.108426, recall_macro=0.115554, f1_micro=0.109000, precision_micro=0.109000, recall_micro=0.109000, NMI=0.066803, ADJ_RAND_SCORE=0.000492
ACC=0.075500, f1_macro=0.073561, precision_macro=0.075272, recall_macro=0.084956, f1_micro=0.075500, precision_micro=0.075500, recall_micro=0.075500, NMI=0.166627, ADJ_RAND_SCORE=-0.000770
ACC=0.067333, f1_macro=0.066829, precision_macro=0.067524, recall_macro=0.085754, f1_micro=0.067333, precision_micro=0.067333, recall_micro=0.067333, NMI=0.233866, ADJ_RAND_SCORE=0.000869
ACC=0.062500, f1_macro=0.061580, precision_macro=0.062535, recall_macro=0.077324, f1_micro=0.062500, precision_micro=0.062500, recall_micro=0.062500, NMI=0.243399, ADJ_RAND_SCORE=0.000517
ACC=0.058000, f1_macro=0.057989, precision_macro=0.058012, recall_macro=0.074676, f1_micro=0.058000, precision_micro=0.058000, recall_micro=0.058000, NMI=0.275778, ADJ_RAND_SCORE=0.000138
ACC=0.110000, f1_macro=0.103945, precision_macro=0.110268, recall_macro=0.122604, f1_micro=0.110000, precision_micro=0.110000, recall_micro=0.110000, NMI=0.068994, ADJ_RAND_SCORE=-0.000216
ACC=0.075000, f1_macro=0.073249, precision_macro=0.075373, recall_macro=0.084567, f1_micro=0.075000, precision_micro=0.075000, recall_micro=0.075000, NMI=0.170032, ADJ_RAND_SCORE=-0.000073
ACC=0.069667, f1_macro=0.068427, precision_macro=0.069603, recall_macro=0.086526, f1_micro=0.069667, precision_micro=0.069667, recall_micro=0.069667, NMI=0.231506, ADJ_RAND_SCORE=0.000534
ACC=0.063000, f1_macro=0.062192, precision_macro=0.063436, recall_macro=0.079079, f1_micro=0.063000, precision_micro=0.063000, recall_micro=0.063000, NMI=0.242478, ADJ_RAND_SCORE=0.000442
ACC=0.058200, f1_macro=0.058436, precision_macro=0.058448, recall_macro=0.075095, f1_micro=0.058200, precision_micro=0.058200, recall_micro=0.058200, NMI=0.277063, ADJ_RAND_SCORE=0.000484
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.097565, ADJ_RAND_SCORE=0.000589
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.094489, ADJ_RAND_SCORE=-0.000263
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.116565, ADJ_RAND_SCORE=-0.000344
